,,UCP Wirelist Comparison,,,,,,,,,,,
,,,,,,,,,,  = deleted from latest version,,,
Before Workbook:,S:\Legal Drawings\Drawings\H0390_SHELL PERDIDO AC 857 BGC\ELECTRICAL\Archive\A.3\H0390-UCPWiringList_A.3.xlsx,,,,,,,Run Date: 4/27/2026 02:03 PM,,  = added to latest version,,,
After Workbook:,S:\Legal Drawings\Drawings\H0390_SHELL PERDIDO AC 857 BGC\ELECTRICAL\Archive\A.4\H0390-UCPWiringList_A.4.xlsx,,,,,,,,,  = connection attribute changed,,,
,,,,,,,,,,,,,
From,,,,,,,To,,,"
Previous Field Values","
Updated
?","
Stamp",
Device ID,Location,"Cable (W)
 Conductor (SC)
Jumper Clip (JC)",Wire No.,Wire ID,Gauge/Size,"Page/
Zone",Device ID,Location,"Page/
Zone",,,,
AF0212:39,BACK WALL PANEL,SC,021239,WHT,20,21.B7,XT0085:6,PANEL A,21.B6,,,,
AF0211:16,BACK WALL PANEL,SC,0V1,WHT,14,15.A5,XT0562:4,PWR DISTRIBUTION RAIL,15.B2,,DELETED,,
AF0211:16,BACK WALL PANEL,SC,0V1,WHT,14,16.A5,XT0562:5,PWR DISTRIBUTION RAIL,11.C5,,ADDED,,
AT0680:NEG,BACK WALL PANEL,SC,0V1,WHT,14,8.B4,XT0562:6,PWR DISTRIBUTION RAIL,15.B2,,DELETED,,
AT0680:NEG,BACK WALL PANEL,SC,0V1,WHT,14,8.B4,XT0562:7,PWR DISTRIBUTION RAIL,11.D5,,ADDED,,
AU0210:COM,BACK WALL PANEL,SC,0V1,WHT,14,15.A3,XT0562:4,PWR DISTRIBUTION RAIL,15.B2,,DELETED,,
AU0210:COM,BACK WALL PANEL,SC,0V1,WHT,14,16.A3,XT0562:5,PWR DISTRIBUTION RAIL,11.C5,,ADDED,,
FU0310:LI,BACK WALL PANEL,SC,FU0200LI,WHT,14,15.A3,XT0561:4,PWR DISTRIBUTION RAIL,15.A2,,DELETED,,
FU0310:LI,BACK WALL PANEL,SC,FU0200LI,WHT,14,16.A3,XT0561:5,PWR DISTRIBUTION RAIL,11.B5,,ADDED,,
FU0311:LI,BACK WALL PANEL,SC,FU0200LI,WHT,14,15.B3,XT0561:4,PWR DISTRIBUTION RAIL,15.A2,,DELETED,,
FU0311:LI,BACK WALL PANEL,SC,FU0200LI,WHT,14,16.B3,XT0561:5,PWR DISTRIBUTION RAIL,11.B5,,ADDED,,
FU0680:LI,BACK WALL PANEL,SC,FU0200LI,WHT,14,8.B2,XT0561:6,PWR DISTRIBUTION RAIL,15.A2,,DELETED,,
FU0680:LI,BACK WALL PANEL,SC,FU0200LI,WHT,14,8.B2,XT0561:7,PWR DISTRIBUTION RAIL,11.A5,,ADDED,,
QS0561:LD-1,BACK WALL PANEL,SC,FU0200LI,WHT,12,11.C2,XT0561:4,PWR DISTRIBUTION RAIL,11.B5,,ADDED,,
QS0561:LD-3,BACK WALL PANEL,SC,0V1,WHT,12,11.C2,XT0562:4,PWR DISTRIBUTION RAIL,11.C5,,ADDED,,
AU0210:L1,BACK WALL PANEL,WC0020,AU0200L2,ENET,CABLE,16.A3,AU0200:L2,TCP,12.A3,,,,
AU0140:L2,BOP PANEL,WC0014,AU0140L2,ENET,CABLE,30.A2,AU0180:L1,BOP PANEL,30.C2,,,,
AF0182:08,BOP PANEL,WC4100,ZT1190A20N,BLK,16,91.A7,XT0180:20,BOP PANEL,91.A5,,,,
AF0182:43,BOP PANEL,WC4100,ZT1190A20P,WHT,16,91.A7,XT0180:19,BOP PANEL,91.A5,,,,
IEG0180:,BOP PANEL,WC4100,ZT1190A20SH,SH,16,91.A6,XT0180:21,BOP PANEL,91.A5,,,,
AF0143:12,BOP PANEL,WC4101,PY1190A20P,WHT,16,91.C7,XT0140:20,BOP PANEL,91.C5,,,,
AF0143:13,BOP PANEL,WC4101,PY1190A20N,BLK,16,91.C7,XT0140:21,BOP PANEL,91.C5,,,,
IEG0140:,BOP PANEL,WC4101,PY1190A20SH,SH,16,91.C6,XT0140:22,BOP PANEL,91.C5,,,,
AF0183:00,BOP PANEL,WC4102,TY1190A22P,WHT,16,91.C7,XT0180:26,BOP PANEL,91.C5,,,,
AF0183:01,BOP PANEL,WC4102,TY1190A22N,BLK,16,91.C7,XT0180:27,BOP PANEL,91.D5,,,,
AF0183:39,BOP PANEL,WC4102,TY1190A22SH,SH,16,91.C7,XT0180:28,BOP PANEL,91.D5,,,,
AF0142:06,BOP PANEL,WC4103,T5632N,BLK,16,92.A7,XT0140:24,BOP PANEL,92.A5,,,,
AF0142:41,BOP PANEL,WC4103,T5632P,WHT,16,92.A7,XT0140:23,BOP PANEL,92.A5,,,,
IEG0140:,BOP PANEL,WC4103,T5632SH,SH,16,92.A6,XT0140:25,BOP PANEL,92.A5,,,,
AF0143:08,BOP PANEL,WC4104,L568P,WHT,16,92.C7,XT0140:32,BOP PANEL,92.C5,,,,
